visit_location,visit_reason,visit_year,full_name,birthdate,deathdate,birthplace,birthyear,deathyear
Johns Hopkins University,Study,1945,Hazel Edith Schoonmaker Wilson,"October 31, 1888","April 23, 1988","Philadelphia, Pennsylvania",1888,1988.0
South Pacific,Travel,,Beatrice Aitchison,"July 18, 1908","September 22, 1997","Portland, Oregon",1908,1997.0
Antarctica,Travel,,Beatrice Aitchison,"July 18, 1908","September 22, 1997","Portland, Oregon",1908,1997.0
Manchuria,Honeymoon trip to visit husband's parents,1931,Elizabeth Stafford Hirschfelder,"April 25, 1902","September 29, 2002","Providence, Rhode Island",1902,2002.0
Around the world,Travel with husband,1957,Elizabeth Stafford Hirschfelder,"April 25, 1902","September 29, 2002","Providence, Rhode Island",1902,2002.0
"Institute for Advanced Study, Princeton",Research,1937,Miriam Freda Mazur (Becker),"March 30, 1909","March 5, 2000","New York, New York",1909,2000.0
Institute for Advanced Study,Member,1950,Dorothy L. Bernstein,"April 11, 1914","February 5, 1988","Chicago, Illinois",1914,1988.0
"Institute for Numerical Analysis, University of California, Los Angeles",Visiting Professor,1957,Dorothy L. Bernstein,"April 11, 1914","February 5, 1988","Chicago, Illinois",1914,1988.0
Brown University,Visiting Professor of Applied Mathematics,1966,Dorothy L. Bernstein,"April 11, 1914","February 5, 1988","Chicago, Illinois",1914,1988.0
Brown University,Affiliation,1979,Dorothy L. Bernstein,"April 11, 1914","February 5, 1988","Chicago, Illinois",1914,1988.0
University of Tennessee,Visiting Professor,1974,Dorothy L. Bernstein,"April 11, 1914","February 5, 1988","Chicago, Illinois",1914,1988.0
"Reed College, Portland, Oregon",Mathematics Teaching Seminar,1939,Laura Louise Rosenbaum,"January 21, 1908","January 16, 1980","Carrollton, Illinois",1908,1980.0
"Hollywood, Florida",Reported address during war,1944,Laura Louise Rosenbaum,"January 21, 1908","January 16, 1980","Carrollton, Illinois",1908,1980.0
"Columbia, MO",Presented to a meeting of the AMS,1930,Marguerite Lenore Hedberg,"August 27, 1907","August 27, 2002","Kirksville, Missouri",1907,2002.0
